"medicinalproduct","activesubstancename"
"COLAX","SODIUM PICOSULFATE"
"LANREOTIDE OR PLACEBO","LANREOTIDE"
"LANREOTIDE AUTOGEL 60MG","LANREOTIDE"
"LANREOTIDE AUTOGEL","LANREOTIDE"
"LANREOTIDE","LANREOTIDE"
"MAGNESIUM/ZINC","MAGNESIUM OXIDE\ZINC"
"VIROPTIC","TRIFLURIDINE"
"TRIFLURIDINE.","TRIFLURIDINE"
"YAKUBAN","FLURBIPROFEN"
"STREPSILS /00048001/ (FLURBIPROFEN)","FLURBIPROFEN"
"STREFEN","FLURBIPROFEN"
"MAJEZIK (FLURBIPROFEN)","FLURBIPROFEN"
"MAJEZIK","FLURBIPROFEN"
"FROBEN","FLURBIPROFEN"
"FLURBIPROFENE","FLURBIPROFEN"
"FLURBIPROFEN 100 MG BID","FLURBIPROFEN"
"FLURBIPROFEN.","FLURBIPROFEN"
"CEBUTID","FLURBIPROFEN"
"BENACTIV GOLA","FLURBIPROFEN"
"ANTADYS 100 MG","FLURBIPROFEN"
"ANTADYS 100MG","FLURBIPROFEN"
"ANTADYS","FLURBIPROFEN"
"ANSAID","FLURBIPROFEN"
"ANDATYS 100 MG","FLURBIPROFEN"
"ADOFEED PAP","FLURBIPROFEN"
"ADOFEED","FLURBIPROFEN"
"CYSTO-CONRAY II","IOTHALAMATE MEGLUMINE"
"CONRAY 43","IOTHALAMATE MEGLUMINE"
"CONRAY","IOTHALAMATE MEGLUMINE"
"APRICOXIB","APRICOXIB"
"UREX","METHENAMINE HIPPURATE"
"METHENAMINE HIPPURATE.","METHENAMINE HIPPURATE"
"HIPREX","METHENAMINE HIPPURATE"
"PIRENOXINE","PIRENOXINE"
"KARY UNI                           /00528801/","PIRENOXINE"
"KARY UNI","PIRENOXINE"
"CATALIN","PIRENOXINE"
"VESSEL DUE F","SULODEXIDE"
"SULODEXIDE","SULODEXIDE"
"ARFORMOTEROL","ARFORMOTEROL"
"90Y-DOTATOC","EDOTREOTIDE YTTRIUM Y-90"
"90 Y DOTATOC","EDOTREOTIDE YTTRIUM Y-90"
"RESTORVOL","HETASTARCH\SODIUM CHLORIDE"
"HYDROXYETHYL STARCH SODIUM CHLORIDE","HETASTARCH\SODIUM CHLORIDE"
"HESPAN","HETASTARCH\SODIUM CHLORIDE"
"6% HYDROXYETHYL STARCH (RESTORVOL)","HETASTARCH\SODIUM CHLORIDE"
"EXVIERA DSV 250MG ABBVIE","DASABUVIR SODIUM MONOHYDRATE"
"GADOVIST 6ML","GADOBUTROL"
"GADOVIST 1.0 MMOL/ML SOLUTION FOR INJECTION","GADOBUTROL"
"GADOVIST 1,0 MMOL/ML","GADOBUTROL"
"GADOVIST","GADOBUTROL"
"GADOBUTROL","GADOBUTROL"
"GADAVIST","GADOBUTROL"
"CINNAMON /01647501/ (CINNAMOMUM VERUM)","CINNAMON"
"CINNAMON /01647501/","CINNAMON"
"CINNAMON                           /01647501/","CINNAMON"
"CINNAMON.","CINNAMON"
"CINNAMOMUM VERUM BARK","CINNAMON"
"MEK 162","BINIMETINIB"
"MEK162","BINIMETINIB"
"ARRY-438162","BINIMETINIB"
"EDARBYCLOR","AZILSARTAN KAMEDOXOMIL\CHLORTHALIDONE"
"EDARBYCHLOR","AZILSARTAN KAMEDOXOMIL\CHLORTHALIDONE"
"LOSFERON","FERROUS GLUCONATE"
"IRON FERROUS GLUCONATE","FERROUS GLUCONATE"
"FERRUM SANDOZ /00023502/","FERROUS GLUCONATE"
"FERRUM SANDOZ                            /00023502/","FERROUS GLUCONATE"
"FERROUS GLUCONATE (FERROUS GLUCONATE)","FERROUS GLUCONATE"
"FERROUS GLUCONATE","FERROUS GLUCONATE"
"FERROSANOL","FERROUS GLUCONATE"
"FERGON","FERROUS GLUCONATE"
"ASCOFER","FERROUS GLUCONATE"
"VICKS VAPOSTEAM","CAMPHOR"
"PAIN RELIEF LINIMENT (CAMPHOR) LINIMENT","CAMPHOR"
"DEER BRAND CAMPHOR BAR 96%","CAMPHOR"
"CAMPHOR, UNKNOWN","CAMPHOR"
"CAMPHOR","CAMPHOR"
"OXAROL","MAXACALCITOL"
"MAXACALCITOL","MAXACALCITOL"
"MENOMUNE","NEISSERIA MENINGITIDIS GROUP Y CAPSULAR POLYSACCHARIDE ANTIGEN"
"SUDAFED SINUS AND PAIN 12 HOUR","NAPROXEN SODIUM\PSEUDOEPHEDRINE HYDROCHLORIDE"
"ALEVE COLD + SINUS","NAPROXEN SODIUM\PSEUDOEPHEDRINE HYDROCHLORIDE"
"MEDIALIPIDE (GLYCERIN\LECITHIN\TRIGLYCERIDES,UNSPECIFIED LENGTH\SOYBEAN OIL)","GLYCERIN\LECITHIN\TRIGLYCERIDES,UNSPECIFIED LENGTH\SOYBEAN OIL"
"THERAFLU NOS","ACETAMINOPHEN AND OR DEXTROMETHORPHAN AND OR DIPHENHYDRAMINE AND OR GUAIFENESIN AND OR PHENYLEPHRINE AND OR PSEUDOEPHEDRINE"
"BENZOIN","ALOE\BENZOIN\LIQUIDAMBAR STYRACIFLUA RESIN\TOLU BALSAM"
"VITAMIN K4","ACETOMENAPHTHONE"
"MUPHORAN","FOTEMUSTINE"
"FOTEMUSTINE","FOTEMUSTINE"
"ANTI NAUSEA","DEXTROSE\FRUCTOSE\PHOSPHORIC ACID"
"TUSSIN COUGH","DEXTROMETHORPHAN HYDROBROMIDE"
"TUSSIDANE 1.5 MG/ML","DEXTROMETHORPHAN HYDROBROMIDE"
"TUSSIDANE","DEXTROMETHORPHAN HYDROBROMIDE"
"SISAAL","DEXTROMETHORPHAN HYDROBROMIDE"
"ROMILAR","DEXTROMETHORPHAN HYDROBROMIDE"
"ROBITUSSIN MAXIMUM STRENGTH COUGH","DEXTROMETHORPHAN HYDROBROMIDE"
"ROBITUSSIN LINGERING COLD LONG-ACTING COUGH GELS","DEXTROMETHORPHAN HYDROBROMIDE"
"ROBITUSSIN LINGERING COLD LONG-ACTING COUGH","DEXTROMETHORPHAN HYDROBROMIDE"
"ROBITUSSIN DRY COUGH","DEXTROMETHORPHAN HYDROBROMIDE"
"ROBITUSSIN COUGH LONG-ACTING","DEXTROMETHORPHAN HYDROBROMIDE"
"ROBITUSSIN 12 HOUR COUGH RELIEF","DEXTROMETHORPHAN HYDROBROMIDE"
"PULMODEXANE","DEXTROMETHORPHAN HYDROBROMIDE"
"NEO-DEX","DEXTROMETHORPHAN HYDROBROMIDE"
"MEDICON (DEXTROMETHORPHAN HYDROBROMIDE)","DEXTROMETHORPHAN HYDROBROMIDE"
"MEDICON  (DEXTROMETHORPHAN HYDROBROMIDE)","DEXTROMETHORPHAN HYDROBROMIDE"
"MEDICON /00048102/","DEXTROMETHORPHAN HYDROBROMIDE"
"MEDICON                            /00048102/","DEXTROMETHORPHAN HYDROBROMIDE"
"MEDICON","DEXTROMETHORPHAN HYDROBROMIDE"
"HUMEX /00048102/","DEXTROMETHORPHAN HYDROBROMIDE"
"HUMEX                              /00048102/","DEXTROMETHORPHAN HYDROBROMIDE"
"HEALTHY ACCENTS TUSSIN COUGH ADULT","DEXTROMETHORPHAN HYDROBROMIDE"
"EMEDRIN N","DEXTROMETHORPHAN HYDROBROMIDE"
"DEXTROMETHORPHAN POLISTIREX","DEXTROMETHORPHAN HYDROBROMIDE"
"DEXTROMETHORPHAN HYDROBROMIDE (DEXTROMETHORPHAN HYDROBROMIDE)","DEXTROMETHORPHAN HYDROBROMIDE"
"DEXTROMETHORPHAN HYDROBROMIDE 1 MG/ML 473","DEXTROMETHORPHAN HYDROBROMIDE"
"DEXTROMETHORPHAN HYDROBROMIDE.","DEXTROMETHORPHAN HYDROBROMIDE"
"DEXTROMETHORPHAN HBR 10 MG BIOPHARM","DEXTROMETHORPHAN HYDROBROMIDE"
"DEXTROMETHORPHAN HBR","DEXTROMETHORPHAN HYDROBROMIDE"
"DEXTROMETHORPHAN                   /00048102/","DEXTROMETHORPHAN HYDROBROMIDE"
"DEXTRA","DEXTROMETHORPHAN HYDROBROMIDE"
"COUGH RELIEF GRAPE","DEXTROMETHORPHAN HYDROBROMIDE"
"COUGH RELIEF","DEXTROMETHORPHAN HYDROBROMIDE"
"BRONCHOSEDAL","DEXTROMETHORPHAN HYDROBROMIDE"
"BEXIN","DEXTROMETHORPHAN HYDROBROMIDE"
"STEM CELL TRANSPLANT","ALLOGENIC STEM CELL"
"PF-05285401","ALLOGENIC STEM CELL"
"MULTISTEM STROMAL CELLS ATHERSYS","ALLOGENIC STEM CELL"
"ALLOGENEIC PERIPHERAL BLOOD STEM CELLS","ALLOGENIC STEM CELL"
"TILCOTIL","TENOXICAM"
"TILATIL","TENOXICAM"
"TEXAMEN","TENOXICAM"
"TENOXICAM","TENOXICAM"
"OKSAMEN","TENOXICAM"
"ALGANEX","TENOXICAM"
"PAPAVERIN RECIP","PAPAVERINE"
"PAPAVERINE (PAPAVERINE)","PAPAVERINE"
"PAPAVERINE","PAPAVERINE"
"PROCYDIN","CYPROHEPTADINE HYDROCHLORIDE"
"PERIACTIN","CYPROHEPTADINE HYDROCHLORIDE"
"CYPROHEPTADINE HYDROCHLORIDE.","CYPROHEPTADINE HYDROCHLORIDE"
"CYPROHEPTADINE HCL","CYPROHEPTADINE HYDROCHLORIDE"
"CYPROHEPATADINE","CYPROHEPTADINE HYDROCHLORIDE"
"AZEPTIN                            /00884001/","AZELASTINE"
"AZELESTINE","AZELASTINE"
"AZELASTINE (AZELASTINE) (AZELASTINE)","AZELASTINE"
"AZELASTINE","AZELASTINE"
"ALLERGODIL 0.5 MG/ML EYE DROPS","AZELASTINE"
"ALLERGODIL","AZELASTINE"
"NEO-CALGLUCON","CALCIUM GLUBIONATE"
"CALCIUM-SANDOZ /00751528/ (CALCIUM GLUBIONATE)","CALCIUM GLUBIONATE"
"CALCIUM GLUBIONATE","CALCIUM GLUBIONATE"
"SOSEGON (PENTAZOCINE)","PENTAZOCINE"
"SOSEGON                            /00052101/","PENTAZOCINE"
"SOSEGON","PENTAZOCINE"
"PENTAZOCINE (UNKNOWN)","PENTAZOCINE"
"PENTAZOCINE","PENTAZOCINE"
"FORTWIN","PENTAZOCINE"
"BREXIN [PIROXICAM]","PIROXICAM BETADEX"
"BREXINE","PIROXICAM BETADEX"
"TEICOPLANIN (UNKNOWN)","TEICOPLANIN"
"TEICOPLANIN (TEICOPLANIN)","TEICOPLANIN"
"TEICOPLANIN SODIUM","TEICOPLANIN"
"TEICOPLANINE","TEICOPLANIN"
"TEICOPLANIN","TEICOPLANIN"
"TARGOSID","TEICOPLANIN"
"TARGOCID","TEICOPLANIN"
"EQUALINE NIGHTTIME SEVERE COLD AND FLU","ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE\DOXYLAMINE SUCCINATE\PHENYLEPHRINE HYDROCHLORIDE"
"MS REISHIPPU","CAMPHOR\MENTHOL\METHYL SALICYLATE"
"PREMPAK /00445901/","ESTROGENS, CONJUGATED\LEVONORGESTREL"
"COCKLEBUR POLLEN","XANTHIUM STRUMARIUM POLLEN"
"MIYA-BM","CLOSTRIDIUM BUTYRICUM SPORES STRAIN M-55"
"CLOSTRIDIUM BUTYRICUM","CLOSTRIDIUM BUTYRICUM SPORES STRAIN M-55"
"LIDOCAINE/HYDROCORTISONE","HYDROCORTISONE ACETATE\LIDOCAINE HYDROCHLORIDE"
"LIDOCAINE HCL HYDROCORTISONE ACETATE","HYDROCORTISONE ACETATE\LIDOCAINE HYDROCHLORIDE"
"GLUTAMIC ACID","GLUTAMIC ACID"
"IMPROMEN                           /00568801/","BROMPERIDOL"
"IMPROMEN","BROMPERIDOL"
"BROMPERIDOL","BROMPERIDOL"
"BENZALKONIUM CHLORIDE W/CHLORHEXIDI/01690101/","BENZALKONIUM CHLORIDE\CHLORHEXIDINE"
"IODOPHOR","IODOPHOR"
"LEUNASE","ASPARAGINASE"
"L-ASPARGINASE","ASPARAGINASE"
"L ASPARGINASE","ASPARAGINASE"
"L-ASPARAGINASE (LEUNASE INJECTION)","ASPARAGINASE"
"L-ASPARAGINASE (L-ASPARAGINASE) UNKNOWN","ASPARAGINASE"
"L-ASPARAGINASE (L-ASPARAGINASE) (L-ASPARAGINASE)","ASPARAGINASE"
"L-ASPARAGINASE","ASPARAGINASE"
"L ASPARAGINASE","ASPARAGINASE"
"L-ASPARAGINASA","ASPARAGINASE"
"L-ASP","ASPARAGINASE"
"KIDROLASE (ESCHERICHIA COLI L-ASPARAGINASE) INJECTION","ASPARAGINASE"
"KIDROLASE 2000 UI","ASPARAGINASE"
"KIDROLASE 10000 IU","ASPARAGINASE"
"KIDROLASE","ASPARAGINASE"
"ESCHERICHIA COLI ASPARAGINASE","ASPARAGINASE"
"ERWINASE /00143501/","ASPARAGINASE"
"ELSPAR","ASPARAGINASE"
"ECOLI ASPARAGINASE","ASPARAGINASE"
"E.COLI ASPARAGINASE","ASPARAGINASE"
"ASPARAGINESE","ASPARAGINASE"
"ASPARAGINASE (UNSPECIFIED) (ASPARAGINASE) INJECTION","ASPARAGINASE"
"ASPARAGINASE (UNSPECIFIED)","ASPARAGINASE"
"ASPARAGINASE/ASPARAGINASE (AS DRUG)","ASPARAGINASE"
"ASPARAGINASE","ASPARAGINASE"
"ASPARAGINASA","ASPARAGINASE"
"POTASSIUM BITARTRATE (+) SODIUM BICARBONATE","POTASSIUM BITARTRATE\SODIUM BICARBONATE"
"EDUCTYL","POTASSIUM BITARTRATE\SODIUM BICARBONATE"
"TYLENOL ALLERGY SINUS","ACETAMINOPHEN\CHLORPHENIRAMINE MALEATE\PHENYLEPHRINE HYDROCHLORIDE"
"TYLENOL ALLERGY MULTI-SYMPTOM","ACETAMINOPHEN\CHLORPHENIRAMINE MALEATE\PHENYLEPHRINE HYDROCHLORIDE"
"TOP CARE EFFERVESCENT COLD RELIEF","ACETAMINOPHEN\CHLORPHENIRAMINE MALEATE\PHENYLEPHRINE HYDROCHLORIDE"
"SINUS","ACETAMINOPHEN\CHLORPHENIRAMINE MALEATE\PHENYLEPHRINE HYDROCHLORIDE"
"PANADOL COLD AND FLU","ACETAMINOPHEN\CHLORPHENIRAMINE MALEATE\PHENYLEPHRINE HYDROCHLORIDE"
"NOREL AD","ACETAMINOPHEN\CHLORPHENIRAMINE MALEATE\PHENYLEPHRINE HYDROCHLORIDE"
"DRISTAN COLD MULTISYMPTOM","ACETAMINOPHEN\CHLORPHENIRAMINE MALEATE\PHENYLEPHRINE HYDROCHLORIDE"
"CORICIDIN D [CHLORPHENAM MAL,PARACET,PHENYLPROPANOLAM HCL]","ACETAMINOPHEN\CHLORPHENIRAMINE MALEATE\PHENYLEPHRINE HYDROCHLORIDE"
"CONTAC COLD AND FLU - DAY AND NIGHT","ACETAMINOPHEN\CHLORPHENIRAMINE MALEATE\PHENYLEPHRINE HYDROCHLORIDE"
"APAP 325MG PE SINUS NITETIME CPLT 935","ACETAMINOPHEN\CHLORPHENIRAMINE MALEATE\PHENYLEPHRINE HYDROCHLORIDE"
"ALKA-SELTZER PLUS COLD","ACETAMINOPHEN\CHLORPHENIRAMINE MALEATE\PHENYLEPHRINE HYDROCHLORIDE"
"MURI-LUBE LIGHT MINERAL OIL","LIGHT MINERAL OIL"
"KEFLIN /00010902/","CEPHALOTHIN SODIUM"
"KEFLIN                             /00010902/","CEPHALOTHIN SODIUM"
"KEFLIN","CEPHALOTHIN SODIUM"
"CEPHALOTHIN SODIUM","CEPHALOTHIN SODIUM"
"ZORADEX","GOSERELIN"
"GOSERELINE","GOSERELIN"
"GOSERELIN","GOSERELIN"
"ARESTAL                            /00384301/","LOPERAMIDE OXIDE"
"ARESTAL","LOPERAMIDE OXIDE"
"MEPERITAB","MEPERIDINE HYDROCHLORIDE"
"MEPERIDINE HYDROCHLORIDE TABLETS 50MG","MEPERIDINE HYDROCHLORIDE"
"MEPERIDINE HYDROCHLORIDE TABLETS","MEPERIDINE HYDROCHLORIDE"
"MEPERIDINE HYDROCHLORIDE.","MEPERIDINE HYDROCHLORIDE"
"MEPERIDINE HCL","MEPERIDINE HYDROCHLORIDE"
"DOLANTIN (DOLANTIN - PETHIDINE HYDROCHLORIDE)","MEPERIDINE HYDROCHLORIDE"
"DOLANTINA","MEPERIDINE HYDROCHLORIDE"
"DEMEROL","MEPERIDINE HYDROCHLORIDE"
"DYDROGESTERONE","DYDROGESTERONE"
"DUPHASTON","DYDROGESTERONE"
"PROLUTON","HYDROXYPROGESTERONE CAPROATE"
"MAKENA","HYDROXYPROGESTERONE CAPROATE"
"LENTOGEST","HYDROXYPROGESTERONE CAPROATE"
"HYDROXYPROGESTERONE CAPROATE.","HYDROXYPROGESTERONE CAPROATE"
"HYDROXYPROGESTERONE CAPROATE","HYDROXYPROGESTERONE CAPROATE"
"ROSIGLITAZONE MALEATE.","ROSIGLITAZONE MALEATE"
"BLINDED ROSIGLITAZONE MALEATE","ROSIGLITAZONE MALEATE"
"AVANDIA","ROSIGLITAZONE MALEATE"
"DEPARKIN","DIETHAZINE HYDROCHLORIDE"
"TRICALCIUM PHOSPHATE","TRICALCIUM PHOSPHATE"
"RINDERON (BETAMETHASONE SODIUM PHOSPHATE)","BETAMETHASONE SODIUM PHOSPHATE"
"RINBETA PF","BETAMETHASONE SODIUM PHOSPHATE"
"DIPROSONE /00008502/","BETAMETHASONE SODIUM PHOSPHATE"
"DIPROSONE                          /00008502/","BETAMETHASONE SODIUM PHOSPHATE"
"BETNESOL (BETAMETHASONE SODIUM PHOSPHATE)","BETAMETHASONE SODIUM PHOSPHATE"
"BETAPRED","BETAMETHASONE SODIUM PHOSPHATE"
"BETAMETHASONE SODIUM PHOSPHATE (WATSON LABORATORIES)","BETAMETHASONE SODIUM PHOSPHATE"
"BETAMETHASONE SODIUM PHOSPHATE (PF) CLEAR/LOWPH 6MG/ML","BETAMETHASONE SODIUM PHOSPHATE"
"BETAMETHASONE SODIUM PHOSPHATE 6MG/ML JCB LABORATORIES","BETAMETHASONE SODIUM PHOSPHATE"
"BETAMETHASONE SODIUM PHOSPHATE","BETAMETHASONE SODIUM PHOSPHATE"
"BENTNESOL PHOSPHATE","BETAMETHASONE SODIUM PHOSPHATE"
"BENTELAN","BETAMETHASONE SODIUM PHOSPHATE"
"SMOFLIPID","FISH OIL\OLIVEOIL\SOYBEAN OIL\TRIGLYCERIDES,UNSPECIFIED LENGTH"
"URITOS","IMIDAFENACIN"
"STAYBLA","IMIDAFENACIN"
"IMIDAFENACIN","IMIDAFENACIN"
"DICLECTIN","DOXYLAMINE\PYRIDOXINE"
"DEBENDOX","DOXYLAMINE\PYRIDOXINE"
"INFLUENZA A (H1N1) 2009 MONOVALENT VACCINE","INFLUENZA A VIRUS A/CALIFORNIA/7/2009(H1N1)-LIKE ANTIGEN (FORMALDEHYDE INACTIVATED)\INFLUENZA A VIRUS A/CALIFORNIA/7/2009(H1N1)-LIKE HEMAGGLUTININ ANTIGEN (PROPIOLACTONE INACTIVATED)"
"TRONOXAL 1G INYECTABLE","IFOSFAMIDE"
"IPHOSPHAMIDE","IFOSFAMIDE"
"IFOSPHAMIDE","IFOSFAMIDE"
"IFOSFAMIDE (MANUFACTURER UNKNOWN) (IFOSFAMIDE) (IFOSFAMIDE)?","IFOSFAMIDE"
"IFOSFAMIDE (MANUFACTURER UNKNOWN) (IFOSFAMIDE) (IFOSFAMIDE)","IFOSFAMIDE"
"IFOSFAMIDE (MANUFACTURER UNKNOWN)  (IFOSFAMIDE) (IFOSFAMIDE)","IFOSFAMIDE"
"IFOSFAMIDE (MANUFACTURER UNKNOWN)  (IFOSFAMIDE)  (IFOSFAMIDE)","IFOSFAMIDE"
"IFOSFAMIDE (MANUFACTURER UNKNOWN)   (IFOSFAMIDE) (IFOSFAMIDE)","IFOSFAMIDE"
"IFOSFAMIDE (MANUFACTURER UNKNOWN)","IFOSFAMIDE"
"IFOSFAMIDE (MANUFACTUER UNKNOWN) (IFOSFAMIDE) (IFOSFAMIDE)","IFOSFAMIDE"
"IFOSFAMIDE (MANUFACTUERER UNKNOWN) (IFOSFAMIDE) (IFOSFAMIDE)","IFOSFAMIDE"
"IFOSFAMIDE INTRAVENOUS","IFOSFAMIDE"
"IFOSFAMIDE INJECTION 2G","IFOSFAMIDE"
"IFOSFAMIDE INJECTION 1G","IFOSFAMIDE"
"IFOSFAMIDE INJECTION","IFOSFAMIDE"
"IFOSFAMIDE INFUUS","IFOSFAMIDE"
"IFOSFAMIDE (IFOSFAMIDE) UNKNOWN","IFOSFAMIDE"
"IFOSFAMIDE (IFOSFAMIDE) INJECTION","IFOSFAMIDE"
"IFOSFAMIDE (IFOSFAMIDE) (IFOSFAMIDE)","IFOSFAMIDE"
"IFOSFAMIDE (IFOSFAMIDE)","IFOSFAMIDE"
"IFOSFAMIDE FOR INJECTION","IFOSFAMIDE"
"IFOSFAMIDE EG 40 MG/ML","IFOSFAMIDE"
"IFOSFAMIDE EG","IFOSFAMIDE"
"IFOSFAMIDE 40 MG/ML SOLUTION FOR INFUSION","IFOSFAMIDE"
"IFOSFAMIDE 3G VIAL MYLAN","IFOSFAMIDE"
"IFOSFAMIDE 3G MYLAN","IFOSFAMIDE"
"IFOSFAMIDE 2G/50ML","IFOSFAMIDE"
"IFOSFAMIDE 1G MYLAN","IFOSFAMIDE"
"IFOSFAMIDE.","IFOSFAMIDE"
"IFOSFAMID","IFOSFAMIDE"
"IFOSAMIDE","IFOSFAMIDE"
"IFOMIDE","IFOSFAMIDE"
"IFOFSAMIDE","IFOSFAMIDE"
"IFEX","IFOSFAMIDE"
"HOLOXAN, POEDER VOOR OPLOSSING VOOR INFUSIE","IFOSFAMIDE"
"HOLOXAN INJEKTIO/INFUUSIOKUIVA-AINE, LIUOSTA VARTEN","IFOSFAMIDE"
"HOLOXAN INJ 1GM (30ML VIAL)","IFOSFAMIDE"
"HOLOXAN IFOSFAMIDE 3G POWDER FOR INJECTION VIA L","IFOSFAMIDE"
"HOLOXAN IFOSFAMIDE 3G POWDER FOR INJECTION VIAL","IFOSFAMIDE"
"HOLOXAN IFOSFAMIDE 2G POWDER FOR INJECTION VIAL (OF)","IFOSFAMIDE"
"HOLOXAN FOR INJECTION 1G/25ML","IFOSFAMIDE"
"HOLOXAN 500MG","IFOSFAMIDE"
"HOLOXAN 4 G, LYOPHILISAT POUR SOLUTION INJECTABLE","IFOSFAMIDE"
"HOLOXAN 3 G, LYOPHILISAT POUR SOLUTION INJECTABLE","IFOSFAMIDE"
"HOLOXAN 3.00 G","IFOSFAMIDE"
"HOLOXAN (2GM)","IFOSFAMIDE"
"HOLOXAN 2 G, LYOPHILISAT POUR SOLUTION INJECTABLE","IFOSFAMIDE"
"HOLOXAN 2 G","IFOSFAMIDE"
"HOLOXAN 2000 MG, POUDRE POUR USAGE PARENT?RAL","IFOSFAMIDE"
"HOLOXAN - 1 G POLVERE PER SOLUZIONE INIETTABILE - BAXTER S.P.A.","IFOSFAMIDE"
"HOLOXAN 1 G","IFOSFAMIDE"
"HOLOXAN  1 G","IFOSFAMIDE"
"HOLOXAN 1G","IFOSFAMIDE"
"HOLOXAN 1000 MG - POWDER FOR SOLUTION FOR INFUSION","IFOSFAMIDE"
"HOLOXAN 1000 MG, POUDRE POUR SOLUTION INJECTABLE","IFOSFAMIDE"
"HOLOXAN 1000MG INJ (IFOSFAMIDE)","IFOSFAMIDE"
"HOLOXAN","IFOSFAMIDE"
"HALOXAN","IFOSFAMIDE"
"EXTERNAL-IFOSFAMIDE","IFOSFAMIDE"
"CHEMOTHERAPEUTICS IFOSFAMIDE","IFOSFAMIDE"
"NAPHAZOLINE/PHENIRAMINE","NAPHAZOLINE\PHENIRAMINE MALEATE"
"PEDIATRIC ELECTROLYTE","POTASSIUM CITRATE\SODIUM CITRATE\ZINC"
"PEDIALYTE","POTASSIUM CITRATE\SODIUM CITRATE\ZINC"
"YODOCEFOL","CYANOCOBALAMIN\FOLIC ACID\POTASSIUM IODIDE"
"TIXOCORTOL PIVALATE","TIXOCORTOL PIVALATE"
"TIXOCORTOL","TIXOCORTOL PIVALATE"
"PIVALONE (TIXOCORTOL)","TIXOCORTOL PIVALATE"
"PIVALONE NASAL (FRANCE)","TIXOCORTOL PIVALATE"
"PIVALONE 1 POUR CENT","TIXOCORTOL PIVALATE"
"PIVALONE 1 %","TIXOCORTOL PIVALATE"
"PIVALONE /00803802/","TIXOCORTOL PIVALATE"
"PIVALONE                           /00803802/","TIXOCORTOL PIVALATE"
"PIVALONE","TIXOCORTOL PIVALATE"
"ZENAPAX","DACLIZUMAB"
"DACLIZUMAB","DACLIZUMAB"
"WAL PROFEN COLD AND SINUS","IBUPROFEN\PSEUDOEPHEDRINE HYDROCHLORIDE"
"SINUTAB 3-WAY","IBUPROFEN\PSEUDOEPHEDRINE HYDROCHLORIDE"
"SINUS PRESSURE SUDAFED (IBUPROFEN\PSEUDOEPHEDRINE HYDROCHLORIDE)","IBUPROFEN\PSEUDOEPHEDRINE HYDROCHLORIDE"
"RHINADVIL","IBUPROFEN\PSEUDOEPHEDRINE HYDROCHLORIDE"
"NUROFEN RHUME","IBUPROFEN\PSEUDOEPHEDRINE HYDROCHLORIDE"
"NUROFEN INFLUENZA E RAFFREDDORE","IBUPROFEN\PSEUDOEPHEDRINE HYDROCHLORIDE"
"IBUPROFEN/PSEUDOEPHEDRINE HYDROCHLORIDE","IBUPROFEN\PSEUDOEPHEDRINE HYDROCHLORIDE"
"IBUPROFEN PSEUDOEPHEDRINE HYDROCHLORIDE","IBUPROFEN\PSEUDOEPHEDRINE HYDROCHLORIDE"
"DOLORIN COLD","IBUPROFEN\PSEUDOEPHEDRINE HYDROCHLORIDE"
"CHILDRENS MOTRIN COLD","IBUPROFEN\PSEUDOEPHEDRINE HYDROCHLORIDE"
"CHILDRENS ADVIL COLD","IBUPROFEN\PSEUDOEPHEDRINE HYDROCHLORIDE"
"ADVIL COLD AND SINUS","IBUPROFEN\PSEUDOEPHEDRINE HYDROCHLORIDE"
"ADVIL COLD AND FLU","IBUPROFEN\PSEUDOEPHEDRINE HYDROCHLORIDE"
"YINXINGYE PIAN","GINKGO"
"VITALOGINK","GINKGO"
"TEBONIN","GINKGO"
"TEBOKAN (GINKGO FOLIUM)","GINKGO"
"TEBOFORTAN","GINKGO"
"TANAKAN","GINKGO"
"SYMFONA","GINKGO"
"SHUXUENING","GINKGO"
"GINKO BILOBA","GINKGO"
"GINKOBA","GINKGO"
"GINKO                              /01003101/","GINKGO"
"GINKO","GINKGO"
"GINKGO BILOBA (UNKNOWN)","GINKGO"
"GINKGO BILOBA (GINKGO BILOBA)","GINKGO"
"GINKGO BILOBA EXTRACT","GINKGO"
"GINKGO BILOBA","GINKGO"
"GINKGO BILBOA","GINKGO"
"GINKGO","GINKGO"
"GINGKO","GINKGO"
"GINCOBEN","GINKGO"
"CEREBOKAN","GINKGO"
"OMEPRAZOLE SODIUM INJECTION","OMEPRAZOLE SODIUM"
"OMEPRAZOLE SODIUM","OMEPRAZOLE SODIUM"
"MOPRAL (OMEPRAZOLE SODIUM)","OMEPRAZOLE SODIUM"
"MOPRAL (OMEPRAZOLE)","OMEPRAZOLE SODIUM"
"MOPRAL /00661201/","OMEPRAZOLE SODIUM"
"MOPRAL                             /00661201/","OMEPRAZOLE SODIUM"
"MOPRAL","OMEPRAZOLE SODIUM"
"MEPRAL","OMEPRAZOLE SODIUM"
"COMPOUNDED PAIN CREAM DICLOFENAC/BACLOFEN/CYCLOBENZAPRINE/BUPIVACAINE/LIDOCAINE/PRILOCAINE/IMIPRAMINE .05/.02/.02/.01/.05/.025/.03","BACLOFEN\BUPIVACAINE\CYCLOBENZAPRINE\DICLOFENAC\IMIPRAMINE\LIDOCAINE\PRILOCAINE"
"RENNIE","MAGNESIUM CARBONATE"
